precinct,biden
"Lilly Borough - First Ward Voting Precinct",24
"Jefferson #4 Voting Precinct",23
"Vintondale Borough Voting Precinct",23
"Wayne - West Voting Precinct",23
"Greensboro Borough Voting Precinct",22
"Ehrenfeld Borough Voting Precinct",21
"Gilmore Voting Precinct",21
"Aleppo Voting Precinct",20
"Freeport Voting Precinct",19
"Springhill Voting Precinct",19
"Horsham 4-2",18
"Daisytown Borough Voting Precinct",17
"Clarksville Borough Voting Precinct",15
"Chest Springs Borough Voting Precinct",14
"Lower Merion 12-3",13
"Upper Pottsgrove",13
"Lansdale 2-1",12
"Wilmore Borough Voting Precinct",12
"Cassandra Borough Voting Precinct",10
"Lansdale 1-2",10
"Tunnelhill Borough Voting Precinct",10
"RUSH EAST",9
"Gray Voting Precinct",7
"Lansdale 1-3",7
"Upper Salford",6
"Horsham 2-1",3
"Jefferson #2 Voting Precinct",1
"Lansdale 3-1",1
"Lower Salford 6",1
"Souderton 3",1
"Upper Moreland 4-2",1
"Bridgeport 1",0
"Bridgeport 3",0
"Bryn Athyn",0
"Conshohocken 1",0
"Conshohocken 3",0
"Conshohocken 5",0
"Conshohocken 6",0
"CURTIN NORTH",0
"Douglass 1",0
"Douglass 2",0
"Douglass 3",0
"Douglass 4",0
"East Greenville",0
"Ebensburg Borough - West Voting Precinct",0
"Franconia 1",0
"Franconia 2",0
"Franconia 3",0
"Franconia 6",0
"Franconia 7",0
"Franconia 8",0
"Green Lane",0
"Hatboro North 1",0
"Hatboro North 2",0
"Hatboro South 1",0
"Hatboro South 2",0
"Hatfield 1-1",0
"Hatfield 1-2",0
"Hatfield 2-1",0
"Hatfield 3-1",0
"Hatfield 3-2",0
"Hatfield 4-2",0
"Hatfield Borough",0
"Limerick 1",0
"Limerick 2",0
"Limerick 3",0
"Limerick 4",0
"Limerick 5",0
"Limerick 6",0
"Lower Frederick 1",0
"Lower Frederick 2",0
"Lower Moreland 1",0
"Lower Moreland 2",0
"Lower Moreland 3",0
"Lower Moreland 4-1",0
"Lower Moreland 4-2",0
"Lower Moreland 5",0
"Lower Moreland 6",0
"Lower Pottsgrove 1",0
"Lower Pottsgrove 2",0
"Lower Pottsgrove 3",0
"Lower Pottsgrove 4",0
"Lower Salford 1",0
"Lower Salford 2",0
"Lower Salford 3",0
"Lower Salford 4",0
"Lower Salford 5",0
Marlborough,0
"New Hanover 1",0
"New Hanover 2",0
"New Hanover 3",0
"Norristown 1-1",0
"Norristown 1-3",0
"Norristown 2-1",0
"Norristown 2-3",0
"Norristown 3-1",0
"Norristown 3-2",0
"Norristown 4-3",0
"North Wales 3",0
Pennsburg,0
"Pottstown 1-1",0
"Pottstown 1-2",0
"Pottstown 2-1",0
"Pottstown 2-2",0
"Pottstown 3",0
"Pottstown 4",0
"Pottstown 5",0
"Pottstown 6",0
"Pottstown 7-1",0
"Pottstown 7-2",0
"Red Hill",0
Rockledge,0
"Royersford 1",0
"Royersford 2",0
Salford,0
Schwenksville,0
"Souderton 1",0
Telford,0
"Upper Frederick",0
"Upper Hanover 1",0
"Upper Hanover 2",0
"Upper Hanover 3",0
"Upper Moreland 1-1",0
"Upper Moreland 1-2",0
"Upper Moreland 2-1",0
"Upper Moreland 2-2",0
"Upper Moreland 3-1",0
"Upper Moreland 3-2",0
"Upper Moreland 4-1",0
"Upper Moreland 5-1",0
"Upper Moreland 5-2",0
"Upper Moreland 6-1",0
"Upper Moreland 6-2",0
"Upper Moreland 7-1",0
"Upper Moreland 7-2",0
"West Pottsgrove",0
